universidad,tipo_gestion,es_publico,es_licenciada,es_universidad,doc_total,mat_total,egr_total,n_renacyt,score_mat,score_egr,score_concytec,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Nacional Pedro Ruiz Gallo,Público,1,1,1,176,7015,339.0,129,100,100,100,0.0,0.0,73.295,19.32,18.18,59.09,36.93,53.24,30.11,38.75,0.66,4.11,22.28,1,12.898,217.7,0.0,38.023,2.566,65.116,3.285,6,31.008,39.9,4.83
Universidad Alas Peruanas S.A.,Privado,0,1,1,24,576,320.0,6,100,100,100,0.0,0.0,25.0,0.0,0.0,100.0,0.0,50.42,41.67,48.78,0.69,0.0,35.29,17,12.936,240.0,0.0,30.75,2.167,66.667,2.674,4,33.333,24.0,55.56
Universidad Peruana Cayetano Heredia,Privado,0,1,1,1490,12763,401.0,227,100,100,100,1.54,10.34,15.235,0.0,20.07,70.0,30.0,48.46,46.17,67.39,0.37,11.53,24.34,1,15.367,215.7,0.0,96.85,3.93,40.969,4.578,6,45.374,8.6,3.14
Universidad Jaime Bausate y Meza,Privado,0,1,1,104,1040,92.0,0,100,100,86,2.88,21.15,0.0,0.96,16.35,90.38,8.65,52.27,32.69,42.88,0.38,9.9,28.77,1,15.002,259.1,35.87,0.0,0.0,0.0,0.0,0,0.0,10.0,8.85
Universidad Nacional de San Cristóbal de Huamanga,Público,1,1,1,282,12169,10906.0,98,100,86,100,0.0,0.0,34.752,21.63,23.05,50.35,49.65,51.02,35.82,42.79,0.54,0.0,24.55,2,16.104,129.4,37.02,27.776,1.837,55.102,2.365,6,23.469,43.2,89.62
Universidad Nacional Mayor de San Marcos,Público,1,1,1,3527,43961,1301.0,671,100,100,100,1.76,8.25,19.025,14.29,39.35,1.11,98.89,59.78,29.88,45.39,0.61,17.09,25.4,1,15.504,148.0,51.5,58.034,3.224,46.349,4.887,6,32.936,12.5,2.96
Universidad Nacional de la Amazonía Peruana,Público,1,1,1,718,12282,259.0,96,100,100,100,0.0,0.0,13.37,32.73,25.91,33.84,60.86,56.06,31.62,47.58,0.66,4.91,24.27,1,13.656,228.1,0.0,53.281,2.969,60.417,3.56,6,22.917,17.1,2.11
Universidad Científica del Perú,Privado,0,1,1,64,314,49.0,10,100,100,100,0.0,0.0,15.625,4.69,40.62,67.19,32.81,57.7,28.12,62.42,0.32,0.0,29.94,1,13.757,216.2,0.0,32.4,2.1,30.0,3.908,5,30.0,4.9,15.61
Universidad de Ciencias y Artes de América Latina S.A.C.,Privado,0,1,1,186,2706,96.0,3,100,100,95,0.0,15.05,1.613,0.0,25.81,83.33,10.22,45.54,38.71,64.45,0.33,2.4,22.29,1,15.123,209.7,0.0,13.0,1.0,33.333,2.725,4,33.333,14.5,3.55
Universidad Nacional del Centro del Perú,Público,1,1,1,719,11096,879.0,148,100,100,100,0.0,0.0,20.584,32.82,47.57,16.97,81.78,57.26,25.73,46.72,0.43,0.0,21.67,1,14.365,218.9,0.0,34.041,2.284,52.703,3.308,5,31.081,15.4,7.92
Escuela de Posgrado Newman S.A.C.,Privado,0,1,0,89,2404,1495.0,31,100,86,100,0.0,100.0,34.831,0.0,31.46,83.15,16.85,44.16,42.7,43.47,0.21,100.0,40.34,1,15.848,218.0,4.01,67.403,2.871,51.613,3.282,6,38.71,27.0,62.19
Universidad San Ignacio de Loyola S.R.L.,Privado,0,1,1,615,22001,2606.0,29,100,100,100,2.76,12.2,4.715,0.0,16.75,86.34,0.49,45.39,36.1,51.15,0.23,9.26,25.92,1,15.832,195.0,7.6,115.259,3.31,86.207,3.063,6,31.034,35.8,11.84
"Escuela Nacional Superior de Arte Dramático ""Guillermo Ugarte Chamorro""",Público,1,0,0,21,501,6.0,0,100,100,86,0.0,0.0,0.0,0.0,4.76,0.0,4.76,45.1,42.86,65.87,0.2,0.0,25.8,1,14.167,220.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.9,1.2
